"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
293,66,1,30,29,14,1,293,66,1,30,29,14,"Y","Y",446,33,20,"Y",94
185,37,1,23,8,21,2,214,42,1,30,9,24,"N","Y",76,127,7,"Y",70
323,81,6,26,32,8,2,341,86,6,32,34,8,"N","N",143,290,19,"N",75
401,92,17,49,66,65,13,5206,1332,253,784,890,866,"Y","Y",0,0,0,"Y",1100
418,113,13,48,61,47,4,1512,392,41,205,204,203,"N","Y",211,11,7,"N",550
196,43,7,29,27,30,13,3231,825,36,376,290,238,"N","Y",80,45,8,"N",240
183,39,3,20,15,11,3,201,42,3,20,16,11,"Y","N",118,0,0,"Y",92
407,104,6,57,43,65,12,5233,1478,100,643,658,653,"Y","N",912,88,9,"Y",808
426,109,3,55,43,62,1,426,109,3,55,43,62,"Y","N",361,22,2,"N",115
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,"Y","Y",1067,157,14,"Y",776.667
474,129,10,50,56,40,10,2331,604,61,246,327,166,"N","N",732,83,13,"N",750
204,49,6,23,25,12,7,1309,308,27,126,132,66,"Y","N",419,46,5,"Y",300
379,106,10,38,60,30,14,6207,1906,146,859,803,571,"N","N",72,170,24,"N",850
268,60,5,24,25,15,2,350,78,5,34,29,18,"N","N",442,59,6,"N",90
416,132,7,57,49,33,3,932,273,24,113,121,80,"N","N",73,177,18,"N",215
205,57,8,34,32,9,5,756,192,32,117,107,51,"Y","Y",58,4,4,"Y",247.5
526,146,13,71,70,84,6,2648,715,77,352,342,289,"N","N",303,9,9,"N",815
403,101,12,45,53,39,12,5150,1429,166,747,666,526,"Y","Y",316,6,5,"Y",675
405,102,18,49,85,20,6,950,231,29,99,138,64,"N","N",161,10,3,"N",415
236,56,0,27,15,11,4,1115,270,1,116,64,57,"Y","N",125,199,13,"Y",230
216,53,1,31,15,22,4,926,210,9,118,69,114,"N","N",73,152,11,"N",225
24,3,0,1,0,2,3,159,28,0,20,12,9,"Y","N",80,4,0,"Y",745
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,"Y","Y",0,0,0,"Y",950
199,53,5,29,22,21,3,514,120,8,57,40,39,"Y","N",152,3,5,"Y",75
521,142,20,67,86,45,4,815,205,22,99,103,78,"Y","Y",107,242,23,"Y",105
