"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","y"
315,81,7,24,38,39,14,3449,835,69,321,414,375,"N","N",632,43,10,"N",475
479,130,18,66,72,76,3,1624,457,63,224,266,263,"Y","N",880,82,14,"Y",480
496,141,20,65,78,37,11,5628,1575,225,828,838,354,"N","Y",200,11,3,"N",500
321,87,10,39,42,30,2,396,101,12,48,46,33,"N","Y",805,40,4,"N",91.5
594,169,4,74,51,35,11,4408,1133,19,501,336,194,"Y","N",282,421,25,"Y",750
298,73,0,24,24,7,3,509,108,0,41,37,12,"Y","N",121,283,9,"Y",100
574,159,21,107,75,59,10,4631,1300,90,702,504,488,"Y","Y",238,445,22,"Y",517.143
202,53,4,31,26,27,9,1876,467,15,192,186,161,"N","N",304,45,11,"N",512.5
239,60,0,30,11,22,6,1941,510,4,309,103,207,"Y","Y",121,151,6,"Y",700
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,"N","N",105,290,10,"N",775
190,46,2,24,8,15,5,479,102,5,65,23,39,"Y","N",102,177,16,"Y",175
127,32,8,16,22,14,8,727,180,24,67,82,56,"N","N",202,22,2,"N",135
413,92,16,72,48,65,1,413,92,16,72,48,65,"N","Y",280,9,5,"N",100
22,10,1,4,2,1,6,84,26,2,9,9,3,"Y","N",812,84,11,"Y",807
472,116,16,60,62,74,6,1924,489,67,242,251,240,"N","N",518,55,3,"N",600
587,163,4,92,51,70,6,2695,747,17,442,198,317,"Y","Y",434,9,3,"Y",765
324,73,4,32,18,22,7,1931,491,13,291,108,180,"N","Y",222,3,3,"N",708.333
550,152,6,92,37,81,5,2308,633,32,349,182,308,"N","N",262,329,16,"N",625
513,137,20,90,95,90,14,5201,1382,166,763,734,784,"Y","N",267,5,3,"Y",900
313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,"Y","N",127,221,7,"Y",615
419,108,6,55,36,22,3,591,149,8,80,46,31,"N","N",226,7,4,"N",110
517,141,27,70,87,52,9,3571,994,215,545,652,337,"N","N",1378,102,8,"N",1096
583,168,17,83,80,56,5,1646,452,44,219,208,136,"Y","Y",109,292,25,"Y",612.5
161,36,0,19,10,17,4,1053,244,3,156,86,107,"Y","Y",70,149,12,"Y",259
346,98,5,31,53,30,16,5913,1615,235,784,901,560,"Y","Y",0,0,0,"Y",611
241,61,1,34,12,14,1,241,61,1,34,12,14,"N","N",166,172,10,"N",105
181,41,1,15,21,33,2,232,50,4,20,29,45,"Y","Y",326,29,5,"Y",67.5
216,54,0,21,18,15,18,7318,1926,46,796,627,483,"N","N",103,84,5,"N",508
200,57,6,23,14,14,9,2516,684,46,371,230,195,"N","N",69,1,1,"N",479
217,46,7,32,19,9,4,694,160,32,86,76,32,"Y","Y",307,25,1,"Y",180
194,40,7,19,29,30,11,4183,1069,64,486,493,608,"Y","Y",325,22,2,"Y",491
254,68,2,28,26,22,6,999,236,21,108,117,118,"Y","Y",359,30,4,"Y",305
542,140,12,46,75,41,16,7099,2130,235,987,1089,431,"Y","Y",697,61,9,"Y",939
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,"Y","N",389,39,4,"Y",875
214,53,2,30,29,23,2,226,59,2,32,32,27,"N","Y",109,7,3,"N",70
19,7,0,1,2,1,4,41,13,1,3,4,4,"Y","Y",0,0,0,"Y",1110
591,168,19,80,72,39,9,4478,1307,113,634,563,319,"Y","N",67,147,4,"Y",1200
244,58,9,28,25,35,4,1335,333,49,164,179,194,"N","N",142,14,2,"N",340
235,61,3,24,39,21,14,3926,1029,35,441,401,333,"Y","Y",425,43,4,"Y",444
313,78,6,32,41,12,12,3742,968,35,409,321,170,"N","N",106,206,7,"N",416.667
627,177,25,98,81,70,6,3210,927,133,529,472,313,"Y","Y",240,482,13,"Y",1350
416,113,24,58,69,16,1,416,113,24,58,69,16,"Y","Y",203,70,10,"Y",90
155,44,6,21,23,15,16,6631,1634,98,698,661,777,"N","Y",53,88,3,"N",275
191,37,4,12,17,14,4,773,163,16,61,74,52,"N","Y",391,38,8,"N",164
419,113,1,44,27,44,12,4484,1231,32,612,344,422,"Y","Y",211,2,1,"Y",634
311,81,3,42,30,26,17,8247,2198,100,950,909,690,"N","N",153,223,10,"N",320
138,31,8,18,21,38,3,244,53,12,33,32,55,"N","Y",244,21,4,"N",113
512,131,26,69,96,52,14,5347,1397,221,712,815,548,"Y","N",119,216,12,"Y",850
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,"Y","Y",808,108,2,"Y",535
424,119,6,57,46,13,9,3651,1046,32,461,301,112,"Y","Y",224,286,8,"N",850
351,97,4,55,29,39,4,1258,353,16,196,110,117,"N","N",226,7,3,"Y",210
195,55,5,24,33,30,8,1313,338,25,144,149,153,"N","Y",83,2,1,"N",312
388,103,15,59,47,39,6,2174,555,80,285,274,186,"Y","N",182,9,4,"Y",325
339,96,4,37,29,23,4,1064,290,11,123,108,55,"Y","N",104,213,9,"Y",275
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,"N","Y",51,54,8,"N",450
677,238,31,117,113,53,5,2223,737,93,349,401,171,"Y","Y",1377,100,6,"Y",1975
227,46,7,23,20,12,5,1325,324,44,156,158,67,"Y","N",92,2,2,"Y",296
614,163,29,89,83,75,11,5017,1388,266,813,822,617,"N","N",303,6,6,"N",1900
329,83,9,50,39,56,9,3828,948,145,575,528,635,"Y","N",276,6,2,"Y",600
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,"N","N",278,9,9,"N",1041.667
280,82,16,44,45,47,2,428,113,25,61,70,63,"Y","Y",148,4,2,"Y",110
314,83,13,39,46,16,5,1457,405,28,156,159,76,"Y","N",533,40,4,"Y",431.5
475,123,27,76,93,72,4,1810,471,108,292,343,267,"N","Y",226,10,6,"N",1220
317,78,7,35,35,32,1,317,78,7,35,35,32,"Y","Y",45,122,26,"Y",70
511,138,25,76,96,61,3,592,164,28,87,110,71,"Y","N",157,7,8,"Y",145
278,69,3,24,21,29,8,2079,565,32,258,192,162,"N","N",142,210,10,"N",469
382,119,13,54,58,36,12,2133,594,41,287,294,227,"N","N",59,156,9,"N",595
277,71,2,27,29,14,15,5952,1647,60,753,596,259,"N","N",360,32,5,"N",NA
415,115,27,97,71,68,3,711,184,45,156,119,99,"N","N",274,2,7,"N",300
424,110,15,70,47,36,7,2130,544,38,335,174,258,"N","N",292,6,3,"N",490
495,151,17,61,84,78,10,5624,1679,275,884,1015,709,"Y","Y",1045,88,13,"Y",2460
524,132,9,69,47,54,2,972,260,14,123,92,90,"Y","Y",212,327,20,"Y",190
395,106,16,48,56,35,10,2303,571,86,266,323,248,"Y","Y",709,41,7,"Y",627
397,114,23,67,67,53,13,5589,1632,241,906,926,716,"Y","Y",244,2,4,"Y",905
210,37,8,15,19,15,6,994,244,36,107,114,53,"Y","Y",40,115,15,"Y",257
420,95,23,55,58,37,3,646,139,31,77,77,61,"N","N",206,10,7,"N",175
641,198,31,101,108,41,5,2129,610,92,297,319,117,"Y","Y",269,17,10,"Y",1175
215,51,4,19,18,11,1,215,51,4,19,18,11,"Y","Y",116,5,12,"Y",70
441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,"Y","N",97,218,16,"Y",1500
325,76,16,33,52,37,5,1506,351,71,195,219,214,"N","N",726,87,3,"Y",385
490,125,24,81,105,62,13,6063,1646,271,847,999,680,"N","Y",869,62,8,"N",1925.571
596,171,34,91,108,52,6,2862,728,107,361,401,224,"Y","N",118,334,21,"Y",900
472,118,12,63,54,30,4,793,187,14,102,80,50,"Y","N",228,377,26,"Y",155
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,"Y","N",144,6,5,"Y",700
327,85,3,30,44,20,8,2140,568,16,216,208,93,"Y","Y",91,185,12,"Y",362.5
354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,"N","N",83,174,16,"N",200
539,139,5,93,58,69,5,1469,369,12,247,126,198,"Y","N",462,9,7,"Y",400
340,84,11,62,33,47,5,1516,376,42,284,141,219,"N","Y",185,8,4,"Y",400
510,126,2,42,44,35,11,5562,1578,44,703,519,256,"N","N",207,358,20,"N",737.5
315,59,16,45,36,58,13,4677,1051,268,681,782,697,"Y","N",0,0,0,"Y",729
282,78,13,37,51,29,5,1649,453,73,211,280,138,"Y","N",670,57,5,"Y",500
380,120,5,54,51,31,8,3118,900,92,444,419,240,"Y","N",237,8,1,"Y",600
584,158,15,70,84,42,5,2358,636,58,265,316,134,"N","Y",331,20,4,"N",662.5
570,169,21,72,88,38,7,3754,1077,140,492,589,263,"Y","N",295,15,5,"Y",950
